name,location,date,time,description,link,embedded
Spring Fun Run 2025 Volunteer Sign Up,"9649 Michigan Ave, Rogers Park, Chicago, IL",5/10/2025,7:30 AM,Volunteer for the Spring Fun Run 2025 to promote health and wellness in the community.,https://www.volunteermatch.org/search/opp3924681.jsp,"[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
Help Promote the Community Blood Center!,"2181 Clark St, Rogers Park, Chicago, IL",3/22/2024,11:00 AM,Assist in promoting the Community Blood Center to ensure blood supply for patients in need.,https://www.volunteermatch.org/search/opp3924147.jsp,"[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
Cat Photographers,"8859 Clark St, Wicker Park, Chicago, IL",3/25/2024,1:00 PM,Take photos of cats to help with adoption efforts at CHICAGO CAT RESCUE.,https://www.volunteermatch.org/search/opp3923857.jsp,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
Card Processing Event,"6086 State St, Lakeview, Chicago, IL",4/5/2024,3:00 PM,Volunteer to process cards for Cardz For Kidz to bring joy to children in need.,https://www.volunteermatch.org/search/opp3923707.jsp,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
"Share Happiness, Spread Joy","681 Ashland Ave, Lakeview, Chicago, IL",3/28/2024,10:00 AM,Volunteer to spread joy and happiness at Sanctuary Hospice of Illinois.,https://www.volunteermatch.org/search/opp3923131.jsp,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
Best Buddies Chicago Friendship Walk,"4962 Clark St, Wicker Park, Chicago, IL",4/15/2024,10:00 AM,Join Best Buddies for a charity walk promoting inclusion and friendship for people with intellectual and developmental disabilities.,https://www.volunteermatch.org/search/opp3920393.jsp,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1]"
Volunteer TikTok Creator,"5357 Wabash Ave, Lakeview, Chicago, IL",4/16/2024,2:00 PM,Create engaging TikTok content to promote the ChiO SPARK Initiative's mission.,https://www.volunteermatch.org/search/opp3917825.jsp,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
32nd Benefit Dinner Side Dish Sample Packing,"7881 Clark St, Wicker Park, Chicago, IL",4/17/2024,11:00 AM,Assist in packing side dishes for the 32nd Benefit Dinner hosted by Hanul Family Alliance.,https://www.volunteermatch.org/search/opp3917115.jsp,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Chipride Volunteering + Care For Real,"4765 Wabash Ave, Rogers Park, Chicago, IL",4/18/2024,9:00 AM,Volunteer with CHIPRIDE VOLUNTEERING INC to support local community needs.,https://www.volunteermatch.org/search/opp3917014.jsp,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
April 5th - Volunteers Needed for Soccer Program for Youth with Disabilities,"4717 State St, Bronzeville, Chicago, IL",4/5/2024,3:00 PM,Assist with a soccer program for youth with disabilities organized by Kids Enjoy Exercise Now Chicago.,https://www.volunteermatch.org/search/opp3916777.jsp,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
2025 Chicago Miles for Melanoma 5k!,"7732 Western Ave, Pilsen, Chicago, IL",5/10/2025,8:00 AM,Participate in the 2025 Chicago Miles for Melanoma 5k to support melanoma research.,https://www.volunteermatch.org/search/opp3913598.jsp,"[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0]"
Events Committee & Rise,"7822 Pulaski Rd, Rogers Park, Chicago, IL",6/1/2025,12:00 PM,Join the Events Committee to support Rise in their community initiatives.,https://www.volunteermatch.org/search/opp3913533.jsp,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
Rebuilding Exchange's RE:fest 2025,"6237 Wabash Ave, Rogers Park, Chicago, IL",9/20/2025,10:00 AM,Volunteer at Rebuilding Exchange's RE:fest 2025 to promote sustainability and community engagement.,https://www.volunteermatch.org/search/opp3913423.jsp,"[0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
St. Jude Celebrates: A Legacy of Equity,"2050 Halsted St, West Loop, Chicago, IL",8/25/2025,6:00 PM,Volunteer at the St. Jude Celebrates event promoting equity and supporting children's health.,https://www.volunteermatch.org/search/opp3911283.jsp,"[0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0]"
Looking for a better volunteer alternative break opportunity for spring 2025?,"364 State St, Rogers Park, Chicago, IL",3/15/2025,10:00 AM,Join Evansville Habitat for Humanity International: Collegiate Challenge for a meaningful volunteer experience. Help build homes and make a difference in your community.,https://www.volunteermatch.org/search/opp3882425.jsp,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
Urgent Need for Blood Donors! Save Lives Today!,"7482 Wabash Ave, Rogers Park, Chicago, IL",2/20/2025,12:00 PM,Community Blood Center urgently needs blood donors to help save lives. Your contribution can make a significant difference in the community.,https://www.volunteermatch.org/search/opp3879331.jsp,"[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
Social Media Ambassador for the ABC7 Gibbons 5K Run,"6612 Halsted St, Rogers Park, Chicago, IL",4/10/2025,9:00 AM,Assist the Leukemia Research Foundation by promoting their 5K run through social media. Help raise awareness and engage the community.,https://www.volunteermatch.org/search/opp3866776.jsp,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
Daytime Telescope Facilitator Volunteer,"2115 Wabash Ave, Lakeview, Chicago, IL",3/5/2025,11:00 AM,Adler Planetarium seeks volunteers to facilitate daytime telescope activities. Share your passion for astronomy with visitors.,https://www.volunteermatch.org/search/opp3829958.jsp,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Mentor a Chicago Teen and Make a Difference! 2025-2026 School Year,"752 State St, Wicker Park, Chicago, IL",8/15/2025,3:00 PM,Minds Matter Chicago needs mentors to guide high school students. Help them achieve their academic and personal goals.,https://www.volunteermatch.org/search/opp3806331.jsp,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
Seeking Event Director&Rise,"2296 State St, Wicker Park, Chicago, IL",5/1/2025,6:00 PM,Assist in organizing and managing events for a local organization. Coordinate logistics and ensure smooth event execution.,https://www.volunteermatch.org/search/opp3757267.jsp,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0]"
Caring for your South Chicago neighbors in hospice,"6190 Michigan Ave, Lakeview, Chicago, IL",4/25/2025,2:00 PM,APEX Hospice and Palliative Care needs volunteers to provide companionship and support to hospice patients.,https://www.volunteermatch.org/search/opp3741761.jsp,"[0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0]"
Host Families Needed for International Exchange Students,"7604 Ashland Ave, Wicker Park, Chicago, IL",9/1/2025,5:00 PM,AnB Education seeks host families for international exchange students. Provide a welcoming environment and cultural exchange opportunities.,https://www.volunteermatch.org/search/opp3663698.jsp,"[1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
Volunteers Needed to Rescue Food & Fight Hunger In Chicago!,"237 Clark St, Logan Square, Chicago, IL",3/22/2025,4:00 PM,Rescuing Leftover Cuisine Inc. needs volunteers to help rescue and distribute food to those in need.,https://www.volunteermatch.org/search/opp3582107.jsp,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0]"
GENERAL CALL: Volunteers,"5977 Clark St, Lakeview, Chicago, IL",2/28/2025,1:00 PM,Chicago City Theatre Co. dba Joel Hall Dancers & Center needs general volunteers for various tasks and events.,https://www.volunteermatch.org/search/opp3570176.jsp,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
Art from the Heart Volunteer,"1754 Clark St, Pilsen, Chicago, IL",7/15/2025,10:00 AM,Volunteer opportunity to engage in artistic activities with participants at The Douglas Center. Assist with art projects and provide creative support.,https://www.volunteermatch.org/search/opp782320.jsp,"[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0]"
Energetic Volunteers Wanted for Camp One Step!,"4338 Ashland Ave, Lakeview, Chicago, IL",7/20/2025,9:00 AM,Join Camp One Step as an energetic volunteer to support children with cancer. Assist with camp activities and provide a fun experience.,https://www.volunteermatch.org/search/opp654259.jsp,"[0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0]"
Mentors Needed (3-8th Grade),"3727 State St, Bronzeville, Chicago, IL",7/25/2025,3:00 PM,Mentor students in grades 3-8 through Horizons for Youth. Provide academic and personal support to help them succeed.,https://www.volunteermatch.org/search/opp356312.jsp,"[1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0]"
Program Support Aide,"8873 Pulaski Rd, Wicker Park, Chicago, IL",7/30/2025,2:00 PM,Assist with program operations at The Douglas Center. Support staff with various tasks to ensure smooth program execution.,https://www.volunteermatch.org/search/opp227502.jsp,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
Bring Your Heart and Your HR Skills,"5681 Michigan Ave, Pilsen, Chicago, IL",8/1/2025,11:00 AM,Volunteer your HR skills to support Unity Hospice. Assist with HR-related tasks and help the organization thrive.,https://createthegood.aarp.org/opportunity-details.163829,"[0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0]"
Is Your Pup a Canine Good Citizen or a Therapy Dog?,"1097 Wabash Ave, Lakeview, Chicago, IL",8/5/2025,4:00 PM,Volunteer with your therapy dog to visit patients at Unity Hospice. Bring joy and comfort to those in need.,https://createthegood.aarp.org/opportunity-details.163770,"[0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 1]"
Veterans to Veteran Support Program,"4499 Pulaski Rd, Uptown, Chicago, IL",8/15/2025,9:00 AM,Support veterans at Unity Hospice through companionship and understanding. Provide emotional support to veterans in need.,https://www.idealist.org/en/volunteer-opportunity/30a07d6385554d20aae7be722d015ef5,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1]"
Bring Comfort & Peace to Someone Facing End of Life,"8651 Halsted St, Lakeview, Chicago, IL",8/20/2025,3:00 PM,Volunteer at Unity Hospice to provide comfort and peace to patients. Offer emotional support and companionship during their final stages.,https://www.idealist.org/en/volunteer-opportunity/454846d048da4abf856c50dc6b94aaa4,"[0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1]"
Summer Camp Black Girls CODE,"9471 Halsted St, Lakeview, Chicago, IL",7/14/2025,8:00 AM,Volunteer at a summer camp focused on teaching girls to code. Help inspire the next generation of tech leaders.,https://x.gldn.io/e/Xzq0e0JI5Rb,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Share Our Spare Welcome Desk Volunteer,"1768 Ashland Ave, Lakeview, Chicago, IL",4/7/2025,10:00 AM,Volunteer at the welcome desk for Share Our Spare. Assist with greeting and supporting visitors.,https://x.gldn.io/e/gJOp5pjo5Rb,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
Volunteer with Minds Matter Chicago!,"2449 Pulaski Rd, Lakeview, Chicago, IL",7/12/2025,2:00 PM,Mentor and support students through Minds Matter Chicago. Help students achieve their academic goals.,https://www.idealist.org/en/volunteer-opportunity/28745a4d40604948ac4434d09cfee090,"[1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0]"
"Bring Comfort, Share Love, Become a Hospice Patient Friend","2157 State St, Uptown, Chicago, IL",8/25/2025,5:00 PM,Provide companionship to hospice patients at Unity Hospice. Bring comfort and joy to those in need.,https://createthegood.aarp.org/opportunity-details.164005,"[0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
URGENT: Delivery Drivers Needed for Meals on Wheels,"3550 Western Ave, Wicker Park, Chicago, IL",8/30/2025,12:00 PM,Deliver meals to seniors and individuals in need through Meals on Wheels. Ensure nutritious meals reach those who cannot cook.,https://www.idealist.org/en/volunteer-opportunity/f7e99a0fa46c41c6992f9585218c909e,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0]"
Montrose Beach Cleanup,"3874 State St, Wicker Park, Chicago, IL",9/27/2025,10:00 AM,Join Surfrider Chicago for a beach cleanup. Help maintain the beauty and safety of Montrose Beach.,https://x.gldn.io/e/nsi6AefVYRb,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Montrose Beach Bash @ The Dock,"4814 State St, Pilsen, Chicago, IL",7/12/2025,10:00 AM,Participate in a community event at Montrose Beach. Assist with activities and promote environmental awareness.,https://x.gldn.io/e/kinkUYFXYRb,"[0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1]"
GreenHouse Surfboards Demo @ Patagonia,"2236 Western Ave, Lakeview, Chicago, IL",5/2/2025,7:00 PM,Volunteer at the GreenHouse Surfboards demo event. Promote sustainable surfing and engage with attendees.,https://x.gldn.io/e/30H4FtdRYRb,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Best Buddies Friendship Walk Chicago,"7548 State St, Lakeview, Chicago, IL",5/4/2025,7:30 AM,Volunteer at the Best Buddies Friendship Walk. Support inclusion and friendship for people with intellectual disabilities.,https://www.idealist.org/en/volunteer-opportunity/ab33dffde3c2432da381fbaec42f0ec1,"[0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0]"
Can You Hear the Students Sing?,"1768 Clark St, Lincoln Park, Chicago, IL",7/18/2025,1:00 PM,Support a DonorsChoose.org project focused on music education. Help students access resources for their musical endeavors.,https://www.donorschoose.org/project/can-you-hear-the-students-sing/9121996,"[1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0]"
Safety Gloves for Hands-On Science Experiences!,"699 Clark St, Wicker Park, Chicago, IL",4/1/2025,10:00 AM,"Providing safety gloves for students to engage in hands-on science experiments, promoting STEM education in a safe environment.",https://www.donorschoose.org/project/safety-gloves-for-hands-on-science-exper/9163418,"[1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
Earth Day Montrose Beach Cleanup,"4433 Pulaski Rd, Pilsen, Chicago, IL",4/5/2025,10:00 AM,"Join Surfrider Chicago for an Earth Day beach cleanup at Montrose Beach, helping to maintain a clean and sustainable environment.",https://x.gldn.io/e/AhSJRkWHGRb,"[0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
Un Viaje a La Lectura: A Journey Through Hispanic Stories!,"5669 Michigan Ave, Wicker Park, Chicago, IL",4/1/2025,10:00 AM,"Donation to provide Hispanic literature for students, promoting cultural awareness and language skills.",https://www.donorschoose.org/project/un-viaje-a-la-lectura-a-journey-through/9193968,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
Say Cheese! for 5th Grade Memories,"9549 Western Ave, Wicker Park, Chicago, IL",4/1/2025,10:00 AM,Funding for a class photo project to capture 5th-grade memories and promote student engagement.,https://www.donorschoose.org/project/say-cheese-for-5th-grade-memories/9193341,"[1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0]"
Polished Pearls!,"8034 Wabash Ave, Wicker Park, Chicago, IL",4/1/2025,10:00 AM,Supporting a project focused on empowering young girls through educational resources and activities.,https://www.donorschoose.org/project/polished-pearls/9142191,"[1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0]"
The Author in Me,"2086 Clark St, Wicker Park, Chicago, IL",4/1/2025,10:00 AM,Creative writing project for students to express themselves through storytelling and poetry.,https://www.donorschoose.org/project/the-author-in-me/9056901,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
"Rain, Rain, Go Away! Help Us Get Indoor Recess Games","1160 Ashland Ave, Wicker Park, Chicago, IL",4/1/2025,10:00 AM,Providing indoor games for recess to keep students active during rainy days.,https://www.donorschoose.org/project/rain-rain-go-away-help-us-get-indoor/9180751,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
Some Bunnny Loves U,"1202 Western Ave, Wicker Park, Chicago, IL",4/1/2025,10:00 AM,Funding for classroom supplies to support special needs students with essential care and comfort items.,https://www.donorschoose.org/project/some-bunnny-loves-u/9161451,"[1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0]"
Supporting Autism Students with Essential Care and Comfort,"2168 State St, Wicker Park, Chicago, IL",4/1/2025,10:00 AM,Providing comfort items and resources for autism students to create a supportive learning environment.,https://www.donorschoose.org/project/supporting-autism-students-with-essentia/9188008,"[1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0]"
Join the Lakeview Orchestra's Board of Directors!,"8658 Clark St, Lincoln Park, Chicago, IL",4/1/2025,10:00 AM,Seeking board members to support the Lakeview Orchestra in promoting classical music and community engagement.,https://www.idealist.org/en/volunteer-opportunity/2eecc21ef9184691b067072d4338529d-join-the-lakeview-orchestras-board-of-directors-lakeview-orchestra-chicago,"[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0]"
Community Outreach Liaison: Help Solve the Literacy Crisis,"5507 Clark St, Rogers Park, Chicago, IL",4/15/2025,10:00 AM,Volunteer as a community outreach liaison to help solve the literacy crisis by supporting educational initiatives and promoting literacy programs in Chicago.,https://www.volunteermatch.org/search/opp3875432.jsp,"[1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0]"
Volunteers Needed for 10th Annual Luminary Award Dinner,"6949 Wabash Ave, Lakeview, Chicago, IL",4/23/2025,5:00 PM,"Volunteers are needed to support the 10th Annual Luminary Award Dinner, which honors individuals making a difference in children's advocacy.",https://www.idealist.org/en/volunteer-opportunity/7d3a6caa48e9450aafd025b7f828cf3f-volunteers-needed-for-10th-annual-luminary-award-dinner-chicago-childrens-advocacy-center-chicago,"[0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0]"
Brain Aneurysm Foundation 2025 Chicago Run/Walk,"8689 Michigan Ave, Pilsen, Chicago, IL",5/1/2025,8:00 AM,Participate in the Brain Aneurysm Foundation's Chicago Run/Walk to raise awareness and support for brain aneurysm research and survivors.,https://www.volunteermatch.org/search/opp3847659.jsp,"[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0]"
Caring for Hospice patients near Oak Park,"7525 Western Ave, Lakeview, Chicago, IL",4/20/2025,2:00 PM,"Volunteers needed to provide companionship and support to hospice patients near Oak Park, assisting with daily tasks and emotional support.",https://www.volunteermatch.org/search/opp3804760.jsp,"[0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1]"
Nourishing Hope - Bilingual Spanish Intake Volunteer at El Mercadito,"5811 Pulaski Rd, Logan Square, Chicago, IL",4/22/2025,9:00 AM,"Assist as a bilingual Spanish intake volunteer at El Mercadito, helping with client intake and supporting food distribution efforts.",https://www.idealist.org/en/volunteer-opportunity/4fc405015f144402b2dd994203f24c4f-nourishing-hope-be-our-bilingual-spanish-intake-volunteer-at-el-mercadito-nourishing-hope-of-chicago-il-chicago,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0]"
Nourishing Hope - Help Distribute Food at El Mercadito!,"6539 State St, Logan Square, Chicago, IL",4/25/2025,10:00 AM,"Volunteers needed to help distribute food at El Mercadito, supporting food security efforts in the community.",https://www.idealist.org/en/volunteer-opportunity/54ae9a38bb3849d9a3c0e1837ff12aba-nourishing-hope-help-distribute-food-at-el-mercadito-nourishing-hope-of-chicago-il-chicago,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0]"
Join The Hub Gleaning & Sorting Shift in Ravenswood!,"2058 Clark St, Logan Square, Chicago, IL",4/18/2025,11:00 AM,"Volunteer for a gleaning and sorting shift at The Hub in Ravenswood, helping to redistribute food to those in need.",https://www.idealist.org/en/volunteer-opportunity/cccfd1680f4b4c4b99f6c3762555fe95-join-the-hub-gleaning-sorting-shift-in-ravenswood-nourishing-hope-of-chicago-il-chicago,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
Part Time Administrative Assistant,"7487 Clark St, Pilsen, Chicago, IL",4/10/2025,9:00 AM,"Assist with administrative tasks part-time, supporting the organization's operations and helping with various office duties.",https://www.volunteermatch.org/search/opp3834059.jsp,"[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0]"
Walk for Kidneys,"1210 State St, Pilsen, Chicago, IL",4/12/2025,8:00 AM,Participate in the Walk for Kidneys event to raise awareness and funds for kidney disease research and patient support.,https://www.volunteermatch.org/search/opp3810904.jsp,"[0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0]"
