name,location,date,time,description,category,link
Daytime Telescope Facilitator Volunteer,Chicago,4/18/2024,11:00 AM,Assist visitors at the Adler Planetarium by facilitating daytime telescope viewing. Help create an educational and engaging experience for guests.,"['Education', 'Science & Technology', 'Volunteering']",https://www.volunteermatch.org/search/opp3829958.jsp
Mentor a Chicago Teen and Make a Difference! 2025-2026 School Year,Chicago,4/25/2024,3:00 PM,"Mentor a Chicago teen during the 2025-2026 school year. Provide guidance, support, and help make a positive impact on their life.","['Children & Youth', 'Mentorship', 'Education']",https://www.volunteermatch.org/search/opp3806331.jsp
Summer Camp Black Girls CODE,"Chicago, IL",7/14/2025,8:00 AM,Join Black Girls CODE for a summer camp focused on technology and coding skills for young girls. This event aims to empower girls of color to become the next generation of tech leaders.,"['Education', 'Technology', 'Women', 'Youth']",https://www.idealist.org/en/https:/x.gldn.io/e/Xzq0e0JI5Rb
Share Our Spare Welcome Desk Volunteer Position,"Chicago, IL",4/7/2025,10:00 AM,Volunteer at the Share Our Spare Welcome Desk to help support local communities in need. Assist with organizing donations and providing essential services to those in need.,"['Volunteering', 'Community Development', 'Social Services']",https://www.idealist.org/en/https:/x.gldn.io/e/gJOp5pjo5Rb
Volunteer with Minds Matter Chicago!,"Chicago, IL",Random Generated Date,Random Generated Time,Minds Matter Chicago seeks volunteers to support their mission of providing educational resources and mentorship to underprivileged students.,"['Education', 'Mentorship', 'Youth Support']",https://www.idealist.org/en/https:/www.idealist.org/en/volunteer-opportunity/28745a4d40604948ac4434d09cfee090-volunteer-with-minds-matter-chicago-minds-matter-chicago-chicago
Bring Comfort & Peace to Someone Facing End of Life,"Chicago, IL",7/14/2025,8:00 AM,Volunteer with Unity Hospice to provide comfort and support to individuals facing end-of-life care. This opportunity allows you to make a meaningful impact in your community.,"['Health & Medicine', 'Hospice Care', 'Volunteering']",https://www.idealist.org/en/https:/www.idealist.org/en/volunteer-opportunity/454846d048da4abf856c50dc6b94aaa4-bring-comfort-peace-to-someone-facing-end-of-life-join-the-unity-hospice-volunteer-program-unity-hospice-palliative-care-chicago
Montrose Beach Cleanup,"Chicago, IL",9/27/2025,10:00 AM,Join Surfrider Chicago for a beach cleanup at Montrose Beach. Help maintain the beauty of our environment and promote sustainability in your community.,"['Environment', 'Conservation', 'Community Service']",https://www.idealist.org/en/https:/x.gldn.io/e/nsi6AefVYRb
Montrose Beach Bash @ The Dock,"Chicago, IL",7/12/2025,10:00 AM,Surfrider Chicago presents a beach bash at Montrose Beach. This event promotes environmental awareness and community engagement through fun activities and education.,"['Environment', 'Community Events', 'Volunteering']",https://www.idealist.org/en/https:/x.gldn.io/e/kinkUYFXYRb
GreenHouse Surfboards Demo @ Patagonia,"Chicago, IL",5/2/2025,7:00 PM,Attend the GreenHouse Surfboards Demo at Patagonia. This event showcases sustainable surfboard designs and promotes environmental consciousness in the surfing community.,"['Environment', 'Sports', 'Retail Events']",https://www.idealist.org/en/https:/x.gldn.io/e/30H4FtdRYRb
Volunteers Needed: Best Buddies Friendship Walk Chicago,"Chicago, IL",5/4/2025,7:30 AM,Best Buddies Illinois seeks volunteers for their Friendship Walk. This event promotes inclusion and supports individuals with intellectual and developmental disabilities.,"['Disability Support', 'Community Events', 'Volunteering']",https://www.idealist.org/en/https:/www.idealist.org/en/volunteer-opportunity/ab33dffde3c2432da381fbaec42f0ec1-volunteers-needed-best-buddies-friendship-walk-chicago-best-buddies-illinois-chicago
Earth Day Montrose Beach Cleanup,"Chicago, IL",4/5/2025,10:00 AM,Join Surfrider Chicago for an Earth Day beach cleanup at Montrose Beach. Help keep our environment clean and beautiful.,"['Environmental Conservation', 'Community Service']",https://www.idealist.org/en/https:/x.gldn.io/e/AhSJRkWHGRb
Safety Gloves for Hands-On Science Experiences!,Remote,4/15/2025,10:00 AM,"Provide safety gloves for students to engage in hands-on science experiments, promoting STEM education in a safe environment.","['Education', 'STEM']",https://www.idealist.org/en/https:/www.donorschoose.org/project/safety-gloves-for-hands-on-science-exper/9163418
Un Viaje a La Lectura: A Journey Through Hispanic Stories!,"Stickney, IL",4/10/2025,10:00 AM,Support Hispanic students' reading journey with essential books and materials for a culturally enriching experience.,"['Education', 'Literacy']",https://www.idealist.org/en/https:/www.donorschoose.org/project/un-viaje-a-la-lectura-a-journey-through/9193968
Say Cheese! for 5th Grade Memories,"Chicago, IL",4/12/2025,10:00 AM,"Help 5th-grade students capture their memories with a yearbook photography project, creating lasting mementos.","['Education', 'Youth Development']",https://www.idealist.org/en/https:/www.donorschoose.org/project/say-cheese-for-5th-grade-memories/9193341
Polished Pearls!,Remote,4/14/2025,10:00 AM,Support a project focused on empowering students through educational resources and materials.,"['Education', 'Youth Empowerment']",https://www.idealist.org/en/https:/www.donorschoose.org/project/polished-pearls/9142191
The Author in Me,Remote,4/11/2025,10:00 AM,Help students express their creativity through writing and publishing their own books.,"['Education', 'Literacy']",https://www.idealist.org/en/https:/www.donorschoose.org/project/the-author-in-me/9056901
"Rain, Rain, Go Away! Help Us Get Indoor Recess Games",Remote,4/13/2025,10:00 AM,Provide indoor recess games for students to stay active and engaged during rainy days.,"['Education', 'Physical Activity']",https://www.idealist.org/en/https:/www.donorschoose.org/project/rain-rain-go-away-help-us-get-indoor/9180751
Some Bunnny Loves U,Remote,4/16/2025,10:00 AM,Support a classroom project focused on providing essential materials for students.,"['Education', 'Classroom Support']",https://www.idealist.org/en/https:/www.donorschoose.org/project/some-bunnny-loves-u/9161451
Supporting Autism Students with Essential Care and Comfort,Remote,4/17/2025,10:00 AM,Provide autism students with essential care and comfort items to create a supportive learning environment.,"['Special Education', 'Health & Wellness']",https://www.idealist.org/en/https:/www.donorschoose.org/project/supporting-autism-students-with-essentia/9188008
Join the Lakeview Orchestra's Board of Directors!,Hybrid,4/18/2025,10:00 AM,Join the Lakeview Orchestra's Board of Directors to contribute to the arts and music community in Chicago.,"['Arts & Music', 'Nonprofit Leadership']",https://www.idealist.org/en/https:/www.idealist.org/en/volunteer-opportunity/2eecc21ef9184691b067072d4338529d-join-the-lakeview-orchestras-board-of-directors-lakeview-orchestra-chicago
Capturing Creativity: Cameras for IB Visual Arts Students,Remote,4/19/2025,10:00 AM,Provide cameras for IB Visual Arts students to capture their creativity and complete their projects.,"['Arts & Music', 'Education']",https://www.idealist.org/en/https:/www.donorschoose.org/project/capturing-creativity-cameras-for-ib-vis/8977191
Clean and Safe in Kindergarten,Remote,4/20/2025,10:00 AM,Help kindergarten students maintain a clean and safe environment with essential supplies.,"['Education', 'Health & Safety']",https://www.idealist.org/en/https:/www.donorschoose.org/project/clean-and-safe-in-kindergarten/9180953
Feminine Hygiene Products!,Remote,4/21/2025,10:00 AM,"Provide feminine hygiene products for students in need, promoting health and dignity.","['Health & Medicine', 'Youth Support']",https://www.idealist.org/en/https:/www.donorschoose.org/project/feminine-hygiene-products/9134262
Volunteer ESL Tutor for Korean Adults and Seniors (Virtual and In-Person),Hybrid,4/22/2025,10:00 AM,"Volunteer as an ESL tutor for Korean adults and seniors, both virtually and in-person.","['Education', 'Language Learning']",https://www.idealist.org/en/https:/www.idealist.org/en/volunteer-opportunity/5e28bb4e6e00436f854c6cbff345b93f-volunteer-esl-tutor-for-korean-adults-and-seniors-virtual-and-in-person-hanul-family-alliance-chicago
Wiggle While We Work and Regulate,Remote,4/23/2025,10:00 AM,Provide wobble chairs and fidget tools to help students regulate and focus during class.,"['Special Education', 'Classroom Support']",https://www.idealist.org/en/https:/www.donorschoose.org/project/wiggle-while-we-work-and-regulate/9102275
Snacks to Energize,Remote,4/24/2025,10:00 AM,Provide healthy snacks to keep students energized and focused throughout the school day.,"['Education', 'Health & Wellness']",https://www.idealist.org/en/https:/www.donorschoose.org/project/snacks-to-energize/9130557
Supplies to Get Us Through Quarter 4!,Remote,4/25/2025,10:00 AM,Help students finish the school year with the necessary supplies for their classes.,"['Education', 'Classroom Support']",https://www.idealist.org/en/https:/www.donorschoose.org/project/supplies-to-get-us-through-quarter-4/9149579
Teen Talk for youth!,On-site,4/26/2025,10:00 AM,Engage with teens through discussions and activities at the Chicago URBAN ART RETREAT Center.,"['Youth Development', 'Community Engagement']",https://www.idealist.org/en/https:/www.idealist.org/en/volunteer-opportunity/05b8c0555aa04880bdd52ec48449c2dc-teen-talk-for-youth-chicago-urban-art-retreat-center-chicago
Fuel Our Learning: Snack Attack for Our Room!,Remote,4/27/2025,10:00 AM,Provide snacks to fuel students' learning and keep them focused throughout the day.,"['Education', 'Health & Wellness']",https://www.idealist.org/en/https:/www.donorschoose.org/project/fuel-our-learning-snack-attack-for-our/9146066
Volunteers needed to Rescue Food & Fight Hunger in Chicago!,On-site,4/28/2025,10:00 AM,Join Rescuing Leftover Cuisine to help rescue food and fight hunger in Chicago.,"['Food Security', 'Community Service']",https://www.idealist.org/en/https:/www.idealist.org/en/volunteer-opportunity/0a1e626bd9164e2ca5be2638308ce892-volunteers-needed-to-rescue-food-fight-hunger-in-chicago-rescuing-leftover-cuisine-chicago
Community Outreach Liaison: Help Solve the Literacy Crisis,Chicago,4/15/2025,10:00 AM,Volunteer to help address the literacy crisis by supporting educational initiatives and outreach programs in Chicago.,"['Education', 'Community Development', 'Literacy']",https://www.volunteermatch.org/search/opp3875432.jsp
Volunteers Needed for 10th Annual Luminary Award Dinner,"Chicago, IL",4/23/2025,5:00 PM,Volunteers needed for the 10th Annual Luminary Award Dinner to support the Chicago Children's Advocacy Center.,"['Children & Youth', 'Civic Engagement', 'Community Development']",https://www.idealist.org/en/volunteer-opportunity/7d3a6caa48e9450aafd025b7f828cf3f-volunteers-needed-for-10th-annual-luminary-award-dinner-chicago-childrens-advocacy-center-chicago
Brain Aneurysm Foundation 2025 Chicago Run/Walk,Chicago,5/1/2025,8:00 AM,Participate in the Brain Aneurysm Foundation's Chicago Run/Walk to raise awareness and support for brain aneurysm research.,"['Health & Medicine', 'Sports & Recreation', 'Fundraising']",https://www.volunteermatch.org/search/opp3847659.jsp
Caring for Hospice patients near Oak Park,Oak Park,4/20/2025,2:00 PM,Volunteers needed to provide companionship and support to hospice patients near Oak Park.,"['Health & Medicine', 'Hospice Care', 'Elder Care']",https://www.volunteermatch.org/search/opp3804760.jsp
Nourishing Hope - Be our Bilingual Spanish Intake Volunteer at El Mercadito,"Chicago, IL",4/25/2025,10:00 AM,Assist as a bilingual Spanish intake volunteer at El Mercadito to help those in need.,"['Food Security', 'Community Development', 'Spanish Language']",https://www.idealist.org/en/volunteer-opportunity/4fc405015f144402b2dd994203f24c4f-nourishing-hope-be-our-bilingual-spanish-intake-volunteer-at-el-mercadito-nourishing-hope-of-chicago-il-chicago
Nourishing Hope - Help Distribute Food at El Mercadito!,"Chicago, IL",4/27/2025,9:00 AM,"Volunteers needed to help distribute food at El Mercadito, supporting food security initiatives.","['Food Security', 'Hunger', 'Community Development']",https://www.idealist.org/en/volunteer-opportunity/54ae9a38bb3849d9a3c0e1837ff12aba-nourishing-hope-help-distribute-food-at-el-mercadito-nourishing-hope-of-chicago-il-chicago
Join The Hub Gleaning & Sorting Shift in Ravenswood!,"Chicago, IL",5/3/2025,11:00 AM,Volunteer for gleaning and sorting food donations at The Hub in Ravenswood.,"['Food Security', 'Community Development', 'Sustainability']",https://www.idealist.org/en/volunteer-opportunity/cccfd1680f4b4c4b99f6c3762555fe95-join-the-hub-gleaning-sorting-shift-in-ravenswood-nourishing-hope-of-chicago-il-chicago
Part Time Administrative Assistant,Chicago,4/10/2025,9:00 AM,Assist with administrative tasks to support the operations of NAAAP-Chicago.,"['Administrative/Office Support', 'Community Development']",https://www.volunteermatch.org/search/opp3834059.jsp
Walk for Kidneys,Chicago,4/12/2025,8:00 AM,Participate in the Walk for Kidneys event to raise awareness and support for kidney health.,"['Health & Medicine', 'Fundraising', 'Community Development']",https://www.volunteermatch.org/search/opp3810904.jsp
Kitten Photographer Needed,Evanston,4/18/2025,3:00 PM,Volunteer to take photos of kittens for adoption at Paws and Claws Cat Rescue.,"['Animals', 'Photography', 'Volunteering']",https://www.volunteermatch.org/search/opp3747346.jsp
Help Host Kitten Birthday Parties for Kids,Evanston,4/22/2025,4:00 PM,Assist in hosting birthday parties for kids featuring adoptable kittens.,"['Animals', 'Children & Youth', 'Community Development']",https://www.volunteermatch.org/search/opp3730280.jsp
Greeter and Light Clerical Tasks: Swedish Covenant In Patient Unit,"Chicago, IL",4/11/2025,10:00 AM,Volunteer to provide clerical support and greet patients at Swedish Covenant In Patient Unit.,"['Health & Medicine', 'Hospice Care', 'Administrative/Office Support']",https://createthegood.aarp.org/opportunity-details.163902
Is Your Pup a Canine Good Citizen or a Therapy Dog? Paws for Patients is For You!,"Chicago, IL",4/17/2025,2:00 PM,Volunteer with your therapy dog to bring joy to hospice patients.,"['Animals', 'Health & Medicine', 'Therapy']",https://createthegood.aarp.org/opportunity-details.163894
"Bring Your Heart and Your HR Skills, Volunteer for Unity Hospice","Chicago, IL",4/24/2025,3:00 PM,Volunteer to support Unity Hospice with HR skills and provide companionship to patients.,"['Health & Medicine', 'Hospice Care', 'Human Resources']",https://createthegood.aarp.org/opportunity-details.163893
No Veteran Left Behind - Veteran to Veteran Support Needed,"Chicago, IL",5/8/2025,10:00 AM,Volunteer to provide support to veterans at Unity Hospice.,"['Veterans', 'Mental Health', 'Community Development']",https://createthegood.aarp.org/opportunity-details.163761
Greeter and Light Clerical Tasks-Mac Neal Hospital In Patient Unit,"Berwyn, IL",4/14/2025,9:00 AM,Volunteer to assist with clerical tasks and greet patients at Mac Neal Hospital.,"['Health & Medicine', 'Hospice Care', 'Administrative/Office Support']",https://createthegood.aarp.org/opportunity-details.163906
Friends Needed for Hospice Patients,"Chicago, IL",4/19/2025,11:00 AM,Volunteer to provide companionship and support to hospice patients.,"['Health & Medicine', 'Hospice Care', 'Elder Care']",https://www.idealist.org/en/volunteer-opportunity/6030d523e9d94fc0b92b09d679be973e-friends-needed-for-hospice-patients-unity-hospice-palliative-care-chicago
Veterans Supporting Veterans at End of Life,"Hometown, IL",5/6/2025,2:00 PM,"Volunteer to support veterans at the end of life, providing companionship and understanding.","['Veterans', 'Health & Medicine', 'Hospice Care']",https://www.idealist.org/en/volunteer-opportunity/97e5306cccd14486a1c05430c45a0506-veterans-supporting-veterans-at-end-of-life-unity-hospice-palliative-care-hometown
Bank the Blue's 5th Anniversary Celebration Needs Volunteers!,"Chicago, IL",4/30/2025,5:00 PM,Volunteer to help celebrate Bank the Blue's 5th anniversary with various support tasks.,"['Community Development', 'Civic Engagement', 'Celebrations']",https://www.idealist.org/en/volunteer-opportunity/4fb389a8d7b745f594be15695b3fe927-bank-the-blues-5th-anniversary-celebration-needs-volunteers-bank-the-blue-chicago
Hub Program Volunteer,"Chicago, IL",10/15/2023,10:00 AM,Volunteer with Math Circles of Chicago to support educational programs for students.,"['Education', 'Youth']",https://www.idealist.org/en/volunteer-opportunity/b04712f7a0aa439395fc66f05b5c69f5-hub-program-volunteer-math-circles-of-chicago-chicago
Grocery Giveaway,Chicago,10/20/2023,9:00 AM,Help distribute groceries to those in need in the Chicago community.,"['Food Security', 'Community Development']",https://www.volunteermatch.org/search/opp3908039.jsp
Arabic Speaking Family Mentors for Newcomers,Skokie,10/25/2023,2:00 PM,Mentor Arabic-speaking families to help them integrate into the community.,"['Refugee Support', 'Community Development']",https://www.volunteermatch.org/search/opp3907624.jsp
Walk and Roll Chicago Volunteers,Chicago,10/28/2023,8:00 AM,Volunteer for the American Cancer Society's Walk and Roll event.,"['Health', 'Fundraising']",https://www.volunteermatch.org/search/opp3907582.jsp
Bringing History to Life,"Chicago, IL",11/1/2023,12:00 PM,Support educational supplies for history engagement in classrooms.,"['Education', 'History']",https://www.donorschoose.org/project/bringing-history-to-life-engaging-supp/9087189
Chicago: Walk/Run Volunteers Needed,Chicago,11/4/2023,7:00 AM,Volunteer for the Multiple Myeloma Research Foundation's walk/run event.,"['Health', 'Fundraising']",https://www.volunteermatch.org/search/opp3907311.jsp
Participate in a Paid Research Study,Chicago,11/7/2023,10:00 AM,Participate in a research study at the University of Illinois at Chicago.,"['Research', 'Education']",https://www.volunteermatch.org/search/opp3907115.jsp
Volunteer with Miles for Migraine Illinois,Chicago,11/11/2023,8:00 AM,Support Miles for Migraine's event to raise awareness and funds.,"['Health', 'Awareness']",https://www.volunteermatch.org/search/opp3907039.jsp
Join Our Hospice Volunteer Team,Chicago,11/15/2023,1:00 PM,Volunteer with Advocate Hospice to support patients and families.,"['Health', 'Support']",https://www.volunteermatch.org/search/opp3907002.jsp
Become a Companion/Support Volunteer,Oak Park,11/18/2023,2:00 PM,Provide companionship to hospice patients in the Oak Park area.,"['Health', 'Support']",https://www.volunteermatch.org/search/opp3842677.jsp
Adopt-a-Beach Spring Kickoff 2025,"Chicago, IL, USA",5/1/2025,10:00 AM,Join the Alliance for the Great Lakes for the Adopt-a-Beach Spring Kickoff 2025. Help clean up Chicago's beaches and promote environmental conservation.,"['Environment', 'Sustainability', 'Community Development']",https://www.volunteermatch.org/search/opp3903733.jsp
Community Navigator (Bi-Lingual Preferred),"Chicago, IL, USA",5/2/2025,9:00 AM,Assist the CHICAGO EDUCATION ADVOCACY COOPERATIVE as a Community Navigator. Help bridge gaps between communities and educational resources.,"['Education', 'Civic Engagement', 'Community Development']",https://www.volunteermatch.org/search/opp3903149.jsp
Spend the Summer Tutoring Refugee Students in Chicago,"Chicago, IL, USA",6/23/2025,12:00 PM,FORA: Forging Opportunities for Refugees in America seeks tutors for refugee students. Provide educational support and mentorship.,"['Education', 'Refugee Support', 'Mentorship']",https://www.volunteermatch.org/search/opp3903142.jsp
Liver Life Walk Chicago,"Chicago, IL, USA",5/3/2025,8:00 AM,Participate in the American Liver Foundation's Liver Life Walk. Raise awareness and funds for liver health.,"['Health', 'Fundraising', 'Community Support']",https://www.volunteermatch.org/search/opp3902924.jsp
Between Friends Board Member,"Chicago, IL, USA",5/4/2025,6:00 PM,Join the Between Friends organization as a Board Member. Contribute to their mission of empowering individuals.,"['Leadership', 'Nonprofit Governance', 'Community Development']",https://www.volunteermatch.org/search/opp3781234.jsp
Product Receiver and Stock Person,"Chicago, IL, USA",5/5/2025,10:00 AM,Assist New Seed Pantry with receiving and stocking products. Help maintain efficient operations.,"['Food Security', 'Logistics', 'Volunteering']",https://www.volunteermatch.org/search/opp3681662.jsp
Client Specialist,"Chicago, IL, USA",5/6/2025,9:00 AM,New Seed Pantry seeks a Client Specialist to assist with client services and support.,"['Social Services', 'Community Support', 'Nonprofit']",https://www.volunteermatch.org/search/opp3681655.jsp
Celebrating Academic Excellence,"Chicago, IL, USA",5/7/2025,11:00 AM,Support DonorsChoose.org in celebrating academic excellence by honoring outstanding students.,"['Education', 'Academic Support', 'Celebration']",https://www.donorschoose.org/project/celebrating-academic-excellence-honorin/9082818
Fellowship 25' - High School Ambassador,"Chicago, IL, USA",5/8/2025,4:00 PM,New Era of Democracy seeks High School Ambassadors for their Fellowship program.,"['Youth Development', 'Leadership', 'Education']",https://www.volunteermatch.org/search/opp3714657.jsp
Seeking New Board Members,"Oak Park, IL, USA",5/9/2025,7:00 PM,Thrive Counselling Center is seeking new Board Members to contribute to their mission.,"['Mental Health', 'Nonprofit Governance', 'Leadership']",https://www.volunteermatch.org/search/opp3897676.jsp
Welcome a Refugee Family,"Chicago, IL, USA",5/10/2025,5:00 PM,WELCOMENST INC needs volunteers to welcome refugee families to the community.,"['Refugee Support', 'Community Integration', 'Volunteering']",https://www.volunteermatch.org/search/opp3860859.jsp
Move for MDS 5k: Chicago,"Chicago, IL, USA",5/11/2025,8:00 AM,Participate in the Move for MDS 5k event organized by A5 Events with Team Against Drugs Inc.,"['Health', 'Fundraising', 'Community Support']",https://www.volunteermatch.org/search/opp3816498.jsp
Be the Light in Someone's Final Journey,"Chicago, IL, USA",5/12/2025,3:00 PM,Volunteer with Unity Hospice to support patients in their final journey.,"['Healthcare', 'Hospice Care', 'Compassionate Support']",https://createthegood.aarp.org/opportunity-details.163767
